报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,67,67,67,67,67,67,67,67,67,67,67,67,67,65,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,
长期股权投资(万元),1929,1569,1558,1043,192,207,213,207,332,360,340,365,401,500,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,
投资性房地产(万元),1821,1855,1880,1905,1930,1955,1980,2005,2030,2055,2080,2105,2205,2401,,,,
固定资产原值(万元),,60491,,57481,,50727,,45390,,42945,40790,40553,28710,,28608,,,
累计折旧(万元),,22709,,21325,,19637,,18119,,16892,16365,15852,13802,,11593,,,
固定资产净值(万元),,37782,,36155,,31091,,27271,,26053,24425,24701,14908,,17015,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,
固定资产(万元),,37782,,36155,33155,31091,30520,27271,26977,26053,24425,24701,14908,13967,17015,13941,12397,
在建工程(万元),,10093,,5550,9171,10016,7247,8653,8927,6017,4655,2339,9451,9250,9231,5037,3899,
工程物资(万元),,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,
无形资产(万元),2164,2102,2112,2146,2034,2071,2111,2156,2166,2201,2233,2289,2112,2601,2710,2443,2354,
开发支出(万元),,,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,,
长期待摊费用(万元),1076,1101,553,604,445,482,518,556,542,501,421,459,111,132,151,56,72,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,
递延所得税资产(万元),2604,1899,1544,1391,1054,975,860,867,825,733,743,674,532,510,1077,594,372,
其他非流动资产(万元),6423,2881,5851,5304,3690,2741,3016,2299,738,1067,903,1060,1483,1444,2945,2371,657,
非流动资产合计(万元),63393,59349,56390,54166,51739,49603,46531,44082,42605,39054,35867,34059,31271,30871,33196,24507,19751,
资产总计(万元),146756,127536,132706,144415,112733,111217,97138,88061,82416,89358,65225,64690,53117,49814,52622,40723,33113,
短期借款(万元),53991,47082,49436,55005,26969,23907,12467,4493,3082,12663,14374,11518,10552,10832,11100,12700,14354,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,60,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,
应付票据(万元),,,,100,,100,400,300,,85,835,1650,900,600,170,655,250,
应付账款(万元),14767,11506,,12101,,13695,12400,11925,10710,8681,6710,9237,6135,4558,5290,4121,2302,
预收账款(万元),214,25,11,24,7,15,20,9,28,1,21,14,9,3,14,,,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),1411,971,769,1398,1075,929,783,1195,948,807,535,893,643,445,653,469,326,
应交税费(万元),1332,377,150,389,520,668,384,650,627,843,521,786,411,418,995,681,19,
应付利息(万元),117,91,95,87,,56,35,28,18,66,32,32,28,32,35,20,29,
应付股利(万元),,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,
其他应付款(万元),,64,,46,143,41,200,367,185,1444,30,35,52,11,52,159,1101,
预提费用(万元),,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),250,250,4750,9000,8500,,,,,,,,,,,,,
其他流动负债(万元),,,,,,66,19,,25,52,40,53,,,,,,
流动负债合计(万元),73636,60366,65316,78150,47488,39537,26708,18968,15625,24643,23099,24218,18730,16899,18309,18805,18381,
长期借款(万元),1500,1500,1500,1500,2000,10500,9000,9000,9000,9000,9000,8500,8500,8500,8500,,,
应付债券(万元),,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,608,,,,,,,,,,,,,
专项应付款(万元),,608,,608,,608,608,608,608,608,608,608,608,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,
长期递延收益(万元),5440,2540,2478,2369,2278,2373,2698,2655,2813,2568,2594,2383,1831,1989,4216,2074,1126,
递延所得税负债(万元),387,274,208,201,137,62,39,35,75,63,35,32,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,,
非流动负债合计(万元),7935,4921,4795,4678,5022,13543,12345,12299,12496,12239,12237,11523,10939,10489,12716,2074,1126,
负债合计(万元),81571,65287,70111,82828,52510,53080,39053,31266,28121,36881,35335,35740,29669,27387,31025,20880,19507,
实收资本(或股本)(万元),21876,21876,21876,21876,21876,21876,21876,21876,21876,21876,16407,16407,16407,16407,16407,16403,14684,
资本公积(万元),19987,19431,18875,18875,18875,18875,18875,18875,18896,18934,3192,3195,3195,3195,3195,2966,703,
减:库存股(万元),,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,
盈余公积(万元),2328,2328,2328,2328,1639,1639,1639,1639,985,985,985,985,418,174,174,,,
一般风险准备(万元),,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,
未分配利润(万元),20132,18259,19223,18148,17476,15416,15427,14116,12229,10425,9325,8367,3440,2652,1299,-202,-2058,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),64526,62052,62389,61346,59958,57860,57798,56499,53983,52228,29924,28970,23460,22428,21075,19167,13330,
少数股东权益(万元),660,196,206,241,265,277,287,296,311,249,-35,-21,-12,-1,522,677,276,
所有者权益(或股东权益)合计(万元),65185,62248,62596,61587,60223,58137,58085,56795,54295,52477,29889,28950,23448,22427,21597,19844,13606,
负债和所有者权益(或股东权益)总计(万元),146756,127536,132706,144415,112733,111217,97138,88061,82416,89358,65225,64690,53117,49814,52622,40723,33113,		
