报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),4889,4418,4193,4090,3548,3242,3202,3330,3601,4234,3170,2755,2849,2435,2380,1402,772,1377,
其他非流动资产(万元),,38,37,38,445,444,522,565,696,2055,803,462,444,,,,,,
非流动资产合计(万元),88462,89868,88780,90428,81496,80603,74227,72558,69926,68211,20281,19759,19669,20233,15199,13457,12098,8958,
资产总计(万元),250930,257811,266246,272532,263928,252003,224721,235040,195370,198617,169686,121801,117526,91727,87780,54055,45197,40357,
短期借款(万元),56811,51867,45200,42798,41764,43680,26671,29061,16329,4839,5500,7500,5500,1300,,,,956,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,
应付票据(万元),19313,24518,,40641,,27894,18088,21103,29529,36871,26438,19927,20545,16904,20071,3175,,,
应付账款(万元),14402,19253,,26851,,24960,26900,25897,26517,38071,27710,21646,25914,14777,18509,7619,5718,1967,
预收账款(万元),468,261,1316,313,2156,721,1677,332,783,3275,1502,2630,1119,264,2069,669,747,42,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),1024,1022,907,1249,921,790,685,1008,610,512,496,807,453,520,854,495,418,204,
应交税费(万元),639,727,1555,1679,1005,1098,890,1360,793,2403,1685,1795,1881,1001,2170,604,472,4104,
应付利息(万元),121,135,103,123,42,82,77,89,12,8,7,7,,,,,,7,
应付股利(万元),,548,,,,986,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,
其他应付款(万元),,23570,,23724,,24556,20826,24302,835,1163,669,1402,531,1625,890,1897,57,367,
预提费用(万元),,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,206,269,184,375,308,155,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),8784,9825,9635,8894,8964,9420,8846,10539,6824,4276,3037,3172,2087,1315,,,,11,
其他流动负债(万元),60,155,666,332,0,373,97,627,129,381,391,315,,,,,,,
流动负债合计(万元),125102,131881,139079,146604,143867,134559,104755,114318,82362,91797,67435,59201,58726,37975,44748,14834,7720,7813,
长期借款(万元),4850,5250,5350,5550,5550,5800,6300,6300,6800,6800,4000,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,,
长期应付款(万元),,17630,,18326,13357,10823,12986,13823,8832,5231,3719,4480,1966,1856,,,,32,
专项应付款(万元),,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),101,98,176,89,89,101,75,76,191,163,162,141,,,,,,,
长期递延收益(万元),298,305,312,291,294,300,307,315,439,448,456,465,,,,,,,
递延所得税负债(万元),2328,2328,2328,2328,3457,3457,3457,3457,,,11,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,489,594,197,210,,,
非流动负债合计(万元),25938,25611,26330,26583,22747,20482,23125,23971,16262,12642,8348,5086,2454,2449,197,210,0,32,
负债合计(万元),151040,157492,165409,173187,166614,155041,127880,138289,98624,104439,75783,64287,61180,40424,44945,15044,7720,7845,
实收资本(或股本)(万元),27380,27380,27380,27380,27380,27380,27380,27380,27380,27380,27380,20535,20535,20535,11100,11100,11100,11100,
资本公积(万元),39603,39603,39603,39603,39603,39603,39603,39603,39603,39629,39734,11301,11301,11301,20736,20736,20736,20736,
减:库存股(万元),,,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,
盈余公积(万元),2389,2389,2389,2389,2350,2350,2350,2350,2398,2398,2304,2146,2163,1841,1199,823,445,43,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,
未分配利润(万元),26157,27252,26192,26109,24981,24526,24130,24648,24706,22095,21963,21034,20117,15564,10251,6861,5130,514,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,65,120,
归属于母公司股东权益合计(万元),95620,96192,95193,95298,93317,93007,93090,93180,93461,90820,90784,54424,53482,48462,42580,39011,37477,32512,
少数股东权益(万元),4270,4127,5643,4047,3996,3956,3751,3571,3285,3358,3118,3090,2864,2841,256,,,,
所有者权益(或股东权益)合计(万元),99890,100319,100836,99345,97314,96963,96841,96751,96746,94179,93903,57514,56345,51302,42835,39011,37477,32512,
负债和所有者权益(或股东权益)总计(万元),250930,257811,266246,272532,263928,252003,224721,235040,195370,198617,169686,121801,117526,91727,87780,54055,45197,40357,		
